Year,County,NCICCode,Homicide_sum,Robbery_sum,AggAssault_sum,Burglary_sum,LTtotal_sum
2016,Alameda County,Alameda Co. Sheriff's Department,8,204,347,490,1104
2016,Alameda County,Alameda,1,68,74,226,1351
2016,Alameda County,Albany,0,24,5,62,426
2016,Alameda County,Berkeley,2,361,185,805,3965
2016,Alameda County,Emeryville,0,97,32,126,1449
2016,Alameda County,Fremont,0,184,177,923,2997
2016,Alameda County,Hayward,13,348,204,707,2308
2016,Alameda County,Livermore,1,59,88,255,1739
2016,Alameda County,Newark,1,45,47,237,710
2016,Alameda County,Oakland,85,3076,2621,2900,14153
2016,Alameda County,Piedmont,0,17,10,66,109
2016,Alameda County,Pleasanton,0,44,44,208,1260
2016,Alameda County,San Leandro,3,280,173,499,2070
2016,Alameda County,Union City,1,111,157,298,1258
2016,Alameda County,Alameda E. Bay Reg. Park Dist.,0,1,9,0,103
2016,Alameda County,CSU East Bay,0,1,0,11,62
2016,Alameda County,Union Pacific RR - Alameda,0,0,0,1,2
2016,Alameda County,Alameda BART,1,148,34,5,1206
2016,Alameda County,Dublin,0,31,48,133,837
2016,Alameda County,Alameda E. Bay Mun. Util. Dist.,0,0,0,0,25
2016,Alameda County,UC Berkeley,0,13,15,41,621
2016,Alameda County,CA Highway Patrol - Alameda,0,0,1,0,74
2016,Alpine County,Alpine Co. Sheriff's Department,0,0,6,7,26
2016,Alpine County,CA Highway Patrol - Alpine,0,0,0,0,0
2016,Amador County,Amador Co. Sheriff's Department,0,8,39,142,225
2016,Amador County,Ione,0,0,3,6,37
2016,Amador County,Jackson,0,4,25,49,94
2016,Amador County,Sutter Creek,0,1,4,15,35
2016,Amador County,Union Pacific RR - Amador,0,0,0,0,0
2016,Amador County,CA Highway Patrol - Amador,0,0,0,0,5
2016,Butte County,Butte Co. Sheriff's Department,3,28,118,656,666
2016,Butte County,Biggs,0,0,14,9,16
2016,Butte County,Chico,0,57,170,499,2336
2016,Butte County,Gridley,0,1,100,42,132
2016,Butte County,Oroville,0,43,83,282,866
2016,Butte County,Paradise,1,8,29,250,178
2016,Butte County,Union Pacific RR - Butte,0,0,0,2,4
2016,Butte County,Northern Buttes DPR,0,0,0,1,13
2016,Butte County,CSU Chico,0,1,1,12,233
2016,Butte County,CA Highway Patrol - Butte,0,0,0,2,87
2016,Calaveras County,Calaveras Co. Sheriff's Department,3,16,124,183,341
2016,Calaveras County,Angels Camp,0,0,7,8,23
2016,Calaveras County,Union Pacific RR - Calaveras,0,0,0,0,0
2016,Calaveras County,Calaveras DPR,0,0,0,0,0
2016,Calaveras County,CA Highway Patrol - Calaveras,0,0,0,0,4
2016,Colusa County,Colusa Co. Sheriff's Department,0,6,23,78,108
2016,Colusa County,Colusa,0,2,6,26,57
2016,Colusa County,Williams,0,0,4,17,40
2016,Colusa County,Union Pacific RR - Colusa,0,0,0,0,0
2016,Colusa County,CA Highway Patrol - Colusa,0,0,0,0,5
2016,Contra Costa County,Contra Costa Co. Sheriff's Department,9,108,205,505,957
2016,Contra Costa County,Antioch,9,293,403,762,2012
2016,Contra Costa County,Brentwood,0,50,63,146,980
2016,Contra Costa County,Clayton,0,3,1,26,107
2016,Contra Costa County,Concord,1,159,256,521,2793
2016,Contra Costa County,El Cerrito,1,78,52,126,831
2016,Contra Costa County,Hercules,1,11,41,74,266
2016,Contra Costa County,Pinole,0,31,26,76,731
2016,Contra Costa County,Pittsburg,7,116,113,339,961
2016,Contra Costa County,Pleasant Hill,0,43,33,146,1179
2016,Contra Costa County,Richmond,21,364,562,645,1907
2016,Contra Costa County,San Pablo,2,90,99,213,576
2016,Contra Costa County,Walnut Creek,1,30,46,275,1611
