Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description),county_fips
050,06,001,00000,00000,00000,Alameda County,06001
050,06,003,00000,00000,00000,Alpine County,06003
050,06,005,00000,00000,00000,Amador County,06005
050,06,007,00000,00000,00000,Butte County,06007
050,06,009,00000,00000,00000,Calaveras County,06009
050,06,011,00000,00000,00000,Colusa County,06011
050,06,013,00000,00000,00000,Contra Costa County,06013
050,06,015,00000,00000,00000,Del Norte County,06015
050,06,017,00000,00000,00000,El Dorado County,06017
050,06,019,00000,00000,00000,Fresno County,06019
050,06,021,00000,00000,00000,Glenn County,06021
050,06,023,00000,00000,00000,Humboldt County,06023
050,06,025,00000,00000,00000,Imperial County,06025
050,06,027,00000,00000,00000,Inyo County,06027
050,06,029,00000,00000,00000,Kern County,06029
050,06,031,00000,00000,00000,Kings County,06031
050,06,033,00000,00000,00000,Lake County,06033
050,06,035,00000,00000,00000,Lassen County,06035
050,06,037,00000,00000,00000,Los Angeles County,06037
050,06,039,00000,00000,00000,Madera County,06039
050,06,041,00000,00000,00000,Marin County,06041
050,06,043,00000,00000,00000,Mariposa County,06043
050,06,045,00000,00000,00000,Mendocino County,06045
050,06,047,00000,00000,00000,Merced County,06047
050,06,049,00000,00000,00000,Modoc County,06049
050,06,051,00000,00000,00000,Mono County,06051
050,06,053,00000,00000,00000,Monterey County,06053
050,06,055,00000,00000,00000,Napa County,06055
050,06,057,00000,00000,00000,Nevada County,06057
050,06,059,00000,00000,00000,Orange County,06059
050,06,061,00000,00000,00000,Placer County,06061
050,06,063,00000,00000,00000,Plumas County,06063
050,06,065,00000,00000,00000,Riverside County,06065
050,06,067,00000,00000,00000,Sacramento County,06067
050,06,069,00000,00000,00000,San Benito County,06069
050,06,071,00000,00000,00000,San Bernardino County,06071
050,06,073,00000,00000,00000,San Diego County,06073
050,06,075,00000,00000,00000,San Francisco County,06075
050,06,077,00000,00000,00000,San Joaquin County,06077
050,06,079,00000,00000,00000,San Luis Obispo County,06079
050,06,081,00000,00000,00000,San Mateo County,06081
050,06,083,00000,00000,00000,Santa Barbara County,06083
050,06,085,00000,00000,00000,Santa Clara County,06085
050,06,087,00000,00000,00000,Santa Cruz County,06087
050,06,089,00000,00000,00000,Shasta County,06089
050,06,091,00000,00000,00000,Sierra County,06091
050,06,093,00000,00000,00000,Siskiyou County,06093
050,06,095,00000,00000,00000,Solano County,06095
050,06,097,00000,00000,00000,Sonoma County,06097
050,06,099,00000,00000,00000,Stanislaus County,06099
050,06,101,00000,00000,00000,Sutter County,06101
050,06,103,00000,00000,00000,Tehama County,06103
050,06,105,00000,00000,00000,Trinity County,06105
050,06,107,00000,00000,00000,Tulare County,06107
050,06,109,00000,00000,00000,Tuolumne County,06109
050,06,111,00000,00000,00000,Ventura County,06111
050,06,113,00000,00000,00000,Yolo County,06113
050,06,115,00000,00000,00000,Yuba County,06115
162,06,000,00000,00296,00000,Adelanto city,06000
162,06,000,00000,00394,00000,Agoura Hills city,06000
162,06,000,00000,00562,00000,Alameda city,06000
162,06,000,00000,00674,00000,Albany city,06000
162,06,000,00000,00884,00000,Alhambra city,06000
162,06,000,00000,00947,00000,Aliso Viejo city,06000
162,06,000,00000,01444,00000,Alturas city,06000
162,06,000,00000,01514,00000,Amador City city,06000
162,06,000,00000,01640,00000,American Canyon city,06000
162,06,000,00000,02000,00000,Anaheim city,06000
162,06,000,00000,02042,00000,Anderson city,06000
162,06,000,00000,02112,00000,Angels city,06000
162,06,000,00000,02252,00000,Antioch city,06000
162,06,000,00000,02364,00000,Apple Valley town,06000
162,06,000,00000,02462,00000,Arcadia city,06000
162,06,000,00000,02476,00000,Arcata city,06000
162,06,000,00000,02868,00000,Arroyo Grande city,06000
162,06,000,00000,02896,00000,Artesia city,06000
162,06,000,00000,02924,00000,Arvin city,06000
162,06,000,00000,03064,00000,Atascadero city,06000
162,06,000,00000,03092,00000,Atherton town,06000
162,06,000,00000,03162,00000,Atwater city,06000
162,06,000,00000,03204,00000,Auburn city,06000
162,06,000,00000,03274,00000,Avalon city,06000
162,06,000,00000,03302,00000,Avenal city,06000
162,06,000,00000,03386,00000,Azusa city,06000
162,06,000,00000,03526,00000,Bakersfield city,06000
162,06,000,00000,03666,00000,Baldwin Park city,06000
162,06,000,00000,03820,00000,Banning city,06000
162,06,000,00000,04030,00000,Barstow city,06000
162,06,000,00000,04758,00000,Beaumont city,06000
162,06,000,00000,04870,00000,Bell city,06000
162,06,000,00000,04982,00000,Bellflower city,06000
