Year,County,NCICCode,Homicide_sum,Robbery_sum,AggAssault_sum,Burglary_sum,LTtotal_sum,HomicideClr_sum,RobberyClr_sum,AggAssaultClr_sum,BurglaryClr_sum,VehicleTheftClr_sum,LTtotalClr_sum,FROBact_sum,KROBact_sum,OROBact_sum,SROBact_sum,CHROBnao_sum,GROBnao_sum,CROBnao_sum,RROBnao_sum,BROBnao_sum,MROBnao_sum,FEBURact_Sum,UBURact_sum,RESDBUR_sum,NRESBUR_sum,PPLARnao_sum,PSLARnao_sum,SLLARnao_sum,BILARnao_sum,FBLARnao_sum,COMLARnao_sum,AOLARnao_sum,LT400nao_sum,LT200400nao_sum,LT50200nao_sum,LT50nao_sum
1985,Alameda County,Alameda Co. Sheriff's Department,3,166,231,1483,2128,4,32,80,124,7,278,77,22,3,64,38,23,32,11,3,0,1177,306,1129,354,5,60,289,205,44,11,475,753,437,440,498
1985,Alameda County,Alameda,7,220,163,989,3237,7,67,123,88,62,739,56,23,11,130,48,2,2,20,2,10,747,242,637,352,31,20,664,516,183,53,559,540,622,916,1159
1985,Alameda County,Albany,1,58,38,161,418,1,23,31,62,16,88,23,2,2,31,15,1,2,6,3,5,85,76,100,61,26,4,40,39,46,17,37,84,68,128,138
1985,Alameda County,Berkeley,11,660,450,2930,8236,4,198,325,397,177,1380,242,71,43,304,150,0,0,47,21,91,2040,890,2015,915,133,163,1277,611,1877,18,496,533,636,2793,4274
1985,Alameda County,Emeryville,0,82,59,205,664,0,4,15,9,8,19,35,10,11,26,9,2,0,14,0,1,161,44,89,116,5,4,1,16,85,24,169,217,122,161,164
1985,Alameda County,Fremont,3,86,491,1786,3917,2,27,345,424,91,888,38,7,3,38,21,7,8,9,2,7,1080,706,1147,639,10,14,704,360,493,27,727,937,607,1012,1361
1985,Alameda County,Hayward,6,250,379,1693,4610,4,80,315,182,63,1099,136,43,7,64,43,43,21,19,6,2,1128,565,1154,539,1,20,1058,334,417,59,696,1089,802,1102,1617
1985,Alameda County,Livermore,0,29,144,614,1606,0,21,119,126,35,261,13,3,1,12,4,6,2,3,0,11,341,273,411,203,4,6,106,276,187,7,304,370,299,453,484
1985,Alameda County,Newark,3,41,139,481,1516,1,16,110,108,38,511,22,4,1,14,13,9,2,2,3,12,352,129,274,207,3,3,435,151,281,2,148,235,262,464,555
1985,Alameda County,Oakland,95,3316,2761,11846,20866,62,880,1648,1051,911,3510,1120,264,107,1825,253,83,46,306,37,915,9011,2835,8487,3359,399,251,1123,349,4961,70,4055,976,2430,4206,13254
1985,Alameda County,Piedmont,0,20,11,104,213,0,5,8,11,12,28,3,2,0,15,2,0,0,7,0,0,60,44,86,18,1,0,2,18,35,0,25,71,32,54,56
1985,Alameda County,Pleasanton,0,23,44,351,1113,0,4,33,68,17,259,15,3,0,5,10,3,0,3,1,0,146,205,233,118,0,2,168,163,201,11,140,324,238,274,277
1985,Alameda County,San Leandro,3,273,113,905,3190,3,108,73,178,63,938,146,17,5,105,26,24,56,13,6,15,611,294,639,266,15,39,815,227,428,38,478,651,496,845,1198
1985,Alameda County,Union City,5,86,119,902,1522,3,20,93,175,52,260,41,5,3,37,9,10,17,7,2,4,621,281,739,163,16,16,222,179,170,3,220,308,206,407,601
1985,Alameda County,Alameda E. Bay Reg. Park Dist.,4,3,10,16,98,0,1,4,1,3,21,0,0,2,1,0,0,0,0,0,3,15,1,2,14,1,1,0,3,5,2,50,14,10,40,34
1985,Alameda County,CSU East Bay,0,0,0,7,140,0,0,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,1,100,2,4,19,11,45,65
1985,Alameda County,Alameda BART,1,75,14,6,1166,0,9,6,1,29,96,13,13,5,44,0,0,0,0,0,75,5,1,0,6,70,25,1,108,20,11,212,177,150,310,529
1985,Alameda County,UC Lawrence-Livermore,0,0,0,0,149,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,117,0,10,44,22,44,39
1985,Alameda County,UC Lawrence-Berkeley,0,0,3,1,77,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,69,0,2,23,9,26,19
1985,Alameda County,Santa Fe Railroad Alameda,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,13,3,1,2,7
1985,Alameda County,Alameda SP RR,0,1,22,106,116,0,0,4,23,2,15,0,0,0,1,0,0,0,0,0,1,106,0,0,106,2,0,3,0,17,0,86,35,18,37,26
1985,Alameda County,Dublin,0,16,20,154,458,0,13,10,64,0,156,10,2,0,4,4,4,1,1,1,5,103,51,85,69,3,5,151,29,26,5,113,124,76,130,128
1985,Alameda County,Alameda E. Bay Mun. Util. Dist.,1,0,0,2,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,12,2,2,5,7
1985,Alameda County,Alameda UP RR,0,0,0,36,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,36,0,0,0,0,1,0,2,3,1,1,1
1985,Alameda County,UC Berkeley,0,19,32,174,1592,0,9,16,17,16,124,1,1,3,14,1,0,0,0,0,5,122,52,38,136,2,4,48,327,866,46,115,195,224,545,628
1985,Alameda County,Alameda State Police,0,3,11,44,91,0,0,4,3,1,4,0,1,0,2,0,0,0,0,0,2,33,11,2,42,0,2,1,0,35,0,15,17,6,33,35
1985,Alameda County,CA Highway Patrol - Alameda,0,0,13,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Alpine County,Alpine Co. Sheriff's Department,0,0,8,27,255,0,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,13,14,12,15,0,0,0,1,40,21,130,64,109,53,29
1985,Alpine County,CA Highway Patrol - Alpine,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Amador County,Amador Co. Sheriff's Department,3,4,59,149,148,3,3,52,23,1,23,2,0,0,2,0,0,0,2,0,0,105,44,104,45,0,0,3,0,36,6,70,65,22,31,30
1985,Amador County,Ione,0,0,12,14,33,0,0,10,2,4,3,0,0,0,0,0,0,0,0,0,0,8,6,6,8,0,0,7,0,3,0,11,7,3,12,11
1985,Amador County,Jackson,0,0,0,29,104,0,0,0,4,3,34,0,0,0,0,0,0,0,0,0,0,23,6,7,22,0,1,7,0,31,0,50,20,13,33,38
1985,Amador County,Plymouth,0,0,0,3,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,1,3,2,2,2,5
1985,Amador County,Sutter Creek,0,0,0,6,50,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,3,3,2,4,1,0,11,2,7,2,5,4,8,14,24
1985,Amador County,Union Pacific RR - Amador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Amador County,CA Highway Patrol - Amador,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Butte County,Butte Co. Sheriff's Department,3,49,167,1357,1846,2,6,47,30,6,115,16,3,5,25,5,1,5,17,0,9,771,586,939,418,0,0,146,235,138,8,691,454,308,626,458
1985,Butte County,Biggs,0,0,4,25,52,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,15,10,14,11,0,0,6,10,2,0,6,2,7,26,17
1985,Butte County,Chico,0,36,94,585,1788,0,12,41,66,38,234,17,4,2,13,6,4,3,5,2,14,354,231,342,243,3,0,205,598,165,14,262,237,410,614,527
1985,Butte County,Gridley,0,2,52,102,278,0,0,39,14,1,58,1,0,1,0,0,1,0,0,1,0,53,49,61,41,1,0,32,53,38,3,43,30,42,107,99
1985,Butte County,Oroville,0,22,64,350,632,0,5,23,35,11,196,10,0,0,12,2,1,0,1,1,9,245,105,150,200,3,7,190,63,79,5,157,109,91,160,272
1985,Butte County,Paradise,0,2,45,184,341,0,1,36,26,17,83,1,0,0,1,1,0,0,1,0,0,114,70,100,84,1,15,69,24,56,2,57,42,40,94,165
1985,Butte County,Union Pacific RR - Butte,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1985,Butte County,Northern Buttes DPR,0,0,0,4,83,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,0,0,1,1,0,0,31,15,22,15
1985,Butte County,CSU Chico,0,0,2,39,327,0,0,1,2,3,30,0,0,0,0,0,0,0,0,0,0,23,16,8,31,0,0,30,177,11,0,107,29,72,142,84
1985,Butte County,Butte State Police,0,0,3,7,24,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,6,1,0,7,0,0,1,0,3,0,16,5,2,8,9
1985,Butte County,CA Highway Patrol - Butte,0,0,1,0,19,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
1985,Calaveras County,Calaveras Co. Sheriff's Department,19,3,166,465,323,11,2,60,41,5,38,1,0,1,1,0,0,0,1,0,2,314,151,296,169,0,0,8,10,86,3,136,105,50,92,76
1985,Calaveras County,Angels Camp,0,0,18,21,70,0,0,16,10,4,26,0,0,0,0,0,0,0,0,0,0,5,16,11,10,0,0,3,0,6,2,39,4,15,17,34
1985,Calaveras County,Union Pacific RR - Calaveras,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1985,Calaveras County,Calaveras DPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Calaveras County,CA Highway Patrol - Calaveras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Colusa County,Colusa Co. Sheriff's Department,2,0,27,128,218,0,1,16,10,9,10,0,0,0,0,0,0,0,0,0,0,84,44,59,69,0,0,1,13,27,13,103,66,37,60,55
1985,Colusa County,Colusa,0,0,2,50,129,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,43,7,9,41,1,3,4,27,24,1,15,22,17,68,22
1985,Colusa County,Williams,0,2,9,19,40,0,1,8,8,6,12,0,0,0,2,0,1,0,0,0,1,17,2,1,18,0,1,5,4,8,0,12,10,3,10,17
1985,Colusa County,Union Pacific RR - Colusa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1985,Colusa County,CA Highway Patrol - Colusa,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1985,Contra Costa County,Contra Costa Co. Sheriff's Department,13,139,325,2467,3577,9,60,245,401,5,367,42,19,9,69,19,10,8,18,4,6,1479,988,1733,734,8,9,223,255,650,43,590,873,747,904,1053
1985,Contra Costa County,Antioch,5,65,105,802,1849,5,35,81,135,55,460,28,9,7,21,12,6,11,6,0,16,462,340,502,300,3,11,391,195,238,12,290,355,268,569,657
1985,Contra Costa County,Brentwood,1,0,11,58,143,1,0,4,3,3,30,0,0,0,0,0,0,0,0,0,0,30,28,29,29,0,0,8,20,12,7,36,25,24,41,53
1985,Contra Costa County,Clayton,0,0,1,36,50,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,15,21,24,12,1,0,8,5,14,0,11,12,4,17,17
1985,Contra Costa County,Concord,3,106,268,1428,4228,2,35,170,185,129,1077,51,14,7,34,27,10,16,13,1,9,950,478,939,489,14,18,918,385,430,41,666,944,662,1185,1437
1985,Contra Costa County,El Cerrito,0,146,30,398,1131,0,27,17,42,19,392,46,6,15,79,38,10,5,5,5,17,258,140,289,109,34,4,399,40,141,6,113,118,157,325,531
1985,Contra Costa County,Hercules,0,3,39,73,120,0,0,32,16,19,24,2,0,1,0,1,0,1,1,0,0,35,38,55,18,0,2,14,15,7,1,37,30,22,40,28
1985,Contra Costa County,Pinole,0,25,59,291,526,0,8,47,29,7,98,15,1,1,8,9,5,4,1,0,3,198,93,225,66,8,13,106,27,60,20,67,85,99,136,206
1985,Contra Costa County,Pittsburg,8,272,326,1040,1129,5,99,162,159,77,289,75,60,26,111,42,7,7,31,1,21,843,197,815,225,29,64,175,32,167,5,105,336,195,257,341
1985,Contra Costa County,Pleasant Hill,1,56,27,371,1274,1,22,21,48,8,319,26,8,6,16,8,2,23,5,2,13,204,167,212,159,0,2,305,133,137,11,253,169,143,337,625
1985,Contra Costa County,Richmond,19,778,1058,2774,4087,11,250,608,307,146,610,284,67,42,385,64,21,46,84,9,45,2587,187,2126,648,91,62,521,172,749,10,454,756,803,1220,1308
1985,Contra Costa County,San Pablo,6,166,226,664,1804,6,10,58,26,3,507,75,15,5,71,20,10,25,13,2,18,504,160,482,182,7,26,587,111,68,11,422,259,249,520,776
1985,Contra Costa County,Walnut Creek,2,36,63,468,1883,2,15,36,42,34,332,25,0,3,8,12,2,1,3,5,10,322,146,294,174,5,6,368,185,370,36,262,343,338,568,634
1985,Contra Costa County,Kensington,1,2,0,35,49,0,0,0,3,0,1,0,0,0,2,0,0,0,1,0,1,26,9,30,5,0,1,0,5,1,0,8,16,16,10,7
1985,Contra Costa County,Martinez,0,16,45,425,812,0,5,28,30,14,76,3,4,2,7,3,0,3,1,0,1,232,193,316,109,0,0,62,52,110,19,168,182,131,236,263
1985,Contra Costa County,Lafayette,0,11,6,186,434,0,7,6,44,2,58,8,1,1,1,6,1,0,2,1,0,120,66,117,69,0,0,45,32,101,3,60,109,105,89,131
1985,Contra Costa County,Moraga,0,2,5,68,173,0,2,4,9,1,29,1,0,0,1,0,1,0,0,1,0,49,19,31,37,0,0,19,15,39,0,35,47,37,47,42
